Pilot Code;Continent ;Countries (Please name the countries that will be involved in this pilot) ;Partner's acronym ;Primary production;Manufacturing- Processing;Packaging -Storage;Distribution-Retail;Sensor - Analytical instrument' name-Type of analysis ;Description;Model;Parameters to be recorded;;;;;;;;;;;;;;
P2- Poultry;EU ;France;ADIV;No;Yes;No;No;Conventional method EN ISO 6579-1;Salmonella testing in poultry meat. 5 samples/plant;EN ISO 6579-1;Salmonella negative or positive, if positive, unmeration;;;;;;;;;;;;;;
P2- Poultry;EU ;France;ADIV;No;Yes;No;No;Conventional method NF EN ISO 10272-1;Campylobacter enumeration in poultry meat / carcasses;NF EN ISO 10272-1;;;;;;;;;;;;;;;
P3- Cattle;EU ;France;ADIV;No;Yes;No;No;Conventional method NF EN ISO 16654;Detection and enumeration E.Coli 0157 and shigatoxine producers TOP 5 on ground beef, 5 repetitions.;"
NF EN ISO 16654";Storage temperature /MAP or vaccum;;;;;;;;;;;;;;
P3- Cattle;EU ;France;ADIV;No;Yes;No;No;Conventional method EN ISO 6579-1;Salmonella testing in ground beef, the riskier product and the majo outlet of carcasses (66%) . 5 samples/plant;EN ISO 6579-1;Salmonella negative or positive, if positive, unmeration;;;;;;;;;;;;;;
P1- Maize;EU ;Cyprus;SGL;No;No;No;Yes;Conventional microbiology;Detection (Salmonella spp., Listeria monocytogenes, Cronobacter spp.) and/or enumeration (Bacillus cereus) of microbiological hazards and/or hygiene indicators;Respective ISO Methods (accredited);;;;;;;;;;;;;;;
P1- Maize;EU ;Cyprus;SGL;No;No;No;Yes;Conventional microbiology;Detection and enumeration of Listeria monocytogenes;Respective ISO Methods (accredited);;;;;;;;;;;;;;;
P2- Poultry;EU ;Cyprus;SGL;No;No;No;Yes;Conventional microbiology;Detection (Salmonella spp., Campylobacter spp.) and/or enumeration (E. coli) of microbiological hazards and/or hygiene indicators;Respective ISO Methods (not accredited for Campy);;;;;;;;;;;;;;;
P2- Poultry;EU ;Cyprus;SGL;No;No;No;Yes;Conventional microbiology;Detection (Salmonella spp., Listeria monocytogenes) and/or enumeration (E. coli, Listeria monocytogenes) of microbiological hazards and/or hygiene indicators;Respective ISO Methods (accredited);;;;;;;;;;;;;;;
P3- Cattle;EU ;Cyprus;SGL;No;No;No;Yes;Conventional microbiology;Detection (Salmonella spp., Campylobacter spp.) and/or enumeration (E. coli) of microbiological hazards and/or hygiene indicators;Respective ISO Methods (not accredited for Campy);;;;;;;;;;;;;;;
P3- Cattle;EU ;Cyprus;SGL;No;No;No;Yes;Conventional microbiology;Detection (Salmonella spp., Listeria monocytogenes) and/or enumeration (E. coli, Listeria monocytogenes) of microbiological hazards and/or hygiene indicators;Respective ISO Methods (accredited);;;;;;;;;;;;;;;
P4- Fish;EU ;Cyprus;SGL;No;No;No;Yes;Conventional microbiology;Detection (Salmonella spp., Listeria monocytogenes) and/or enumeration (E. coli, Listeria monocytogenes) of microbiological hazards and/or hygiene indicators;Respective ISO Methods (accredited);;;;;;;;;;;;;;;
P1- Maize ;EU ;CYPRUS;FOODAL;Yes;Yes;Yes;Yes;Kjeldahl;Determination of the nitrogen content (Kjeldahl method) and calculation of the crude protein content;12-0700, Kjeldatherm digestion system KT 8s;Nitrogen content and calculation of the crude protein content;;;;;;;;;;;;;;
P1- Maize;EU ;CYPRUS;FOODAL;Yes;Yes;Yes;Yes;;Determination of ash content;Food and Beverage Code §Γ.2;Ash content;;;;;;;;;;;;;;
P1- Maize;EU ;CYPRUS;FOODAL;Yes;Yes;Yes;Yes;;Determination of moisture content;Food and Beverage Code §Γ.1;Moisture content;;;;;;;;;;;;;;
P1- Maize;EU ;CYPRUS;FOODAL;Yes;Yes;Yes;Yes;Soxhlet;Determination of fat by Soxhlet method;Food and Beverage Code §Γ.4;Fat content;;;;;;;;;;;;;;
P1- Maize ;EU ;CYPRUS;FOODAL;Yes;Yes;Yes;Yes;;Determination of total dietary fiber;In House Method (Megazyme Method 1, based on AACC 32-05-01);Total dietary fiber content;;;;;;;;;;;;;;
P2- Poultry;EU ;CYPRUS;FOODAL;Yes;Yes;Yes;Yes;Kjeldahl;Determination of the nitrogen content (Kjeldahl method) and calculation of the crude protein content;12-0700, Kjeldatherm digestion system KT 8s;Nitrogen content and calculation of the crude protein content;;;;;;;;;;;;;;
P2- Poultry;EU ;CYPRUS;FOODAL;Yes;Yes;Yes;Yes;;Determination of ash content;Food and Beverage Code §Γ.2;Ash content;;;;;;;;;;;;;;
P2- Poultry;EU ;CYPRUS;FOODAL;Yes;Yes;Yes;Yes;;Determination of moisture content;Food and Beverage Code §Γ.1;Moisture content;;;;;;;;;;;;;;
P2- Poultry;EU ;CYPRUS;FOODAL;Yes;Yes;Yes;Yes;Soxhlet;Determination of fat by Soxhlet method;Food and Beverage Code §Γ.4;Fat content;;;;;;;;;;;;;;
P2- Poultry;EU ;CYPRUS;FOODAL;Yes;Yes;Yes;Yes;;Determination of total dietary fiber;In House Method (Megazyme Method 1, based on AACC 32-05-01);Total dietary fiber content;;;;;;;;;;;;;;
P3- Cattle;EU ;CYPRUS;FOODAL;Yes;Yes;Yes;Yes;Kjeldahl;Determination of the nitrogen content (Kjeldahl method) and calculation of the crude protein content;12-0700, Kjeldatherm digestion system KT 8s;Nitrogen content and calculation of the crude protein content;;;;;;;;;;;;;;
P3- Cattle;EU ;CYPRUS;FOODAL;Yes;Yes;Yes;Yes;;Determination of ash content;Food and Beverage Code §Γ.2;Ash content;;;;;;;;;;;;;;
P3- Cattle;EU ;CYPRUS;FOODAL;Yes;Yes;Yes;Yes;;Determination of moisture content;Food and Beverage Code §Γ.1;Moisture content;;;;;;;;;;;;;;
P3- Cattle;EU ;CYPRUS;FOODAL;Yes;Yes;Yes;Yes;Soxhlet;Determination of fat by Soxhlet method;Food and Beverage Code §Γ.4;Fat content;;;;;;;;;;;;;;
P3- Cattle;EU ;CYPRUS;FOODAL;Yes;Yes;Yes;Yes;;Determination of total dietary fiber;In House Method (Megazyme Method 1, based on AACC 32-05-01);Total dietary fiber content;;;;;;;;;;;;;;
P4- Fish;EU ;CYPRUS;FOODAL;No;Yes;Yes;Yes;Kjeldahl;Determination of the nitrogen content (Kjeldahl method) and calculation of the crude protein content;12-0700, Kjeldatherm digestion system KT 8s;Nitrogen content and calculation of the crude protein content;;;;;;;;;;;;;;
P4- Fish;EU ;CYPRUS;FOODAL;No;Yes;Yes;Yes;;Determination of ash content;Food and Beverage Code §Γ.2;Ash content;;;;;;;;;;;;;;
P4- Fish ;EU ;CYPRUS;FOODAL;No;Yes;Yes;Yes;;Determination of moisture content;Food and Beverage Code §Γ.1;Moisture content;;;;;;;;;;;;;;
P4- Fish;EU ;CYPRUS;FOODAL;No;Yes;Yes;Yes;Soxhlet;Determination of fat by Soxhlet method;Food and Beverage Code §Γ.4;Fat content;;;;;;;;;;;;;;
P4- Fish ;EU ;CYPRUS;FOODAL;No;Yes;Yes;Yes;;Determination of total dietary fiber;In House Method (Megazyme Method 1, based on AACC 32-05-01);Total dietary fiber content;;;;;;;;;;;;;;
P1- Maize;EU ;Greece;HAO;No;Yes;No;No;Conventional microbiology;Enumeration of total viable count and Specific Spoilage Organisms (e.g. Pseudomonas spp., Brochothrix thermosphacta, Enterobacteriaceae, Lactic Acid Bacteria).;Microbiological methods (plate count techique);microbial counts on baby foods samples ;;;;;;;;;;;;;;
